Entry Date,Exit Date,Entry Price,Exit Price,Net Return %,Net Profit €,Post-Trade Equity,Protection Level
2016-11-10 20:01:00,2016-11-13 00:01:00,715.19,691.98,-3.25,-11579.95,87834.93,1
2016-11-15 04:01:00,2016-11-20 12:01:00,712.71,729.11,2.3,6888.68,93555.41,2
2016-11-22 16:01:00,2016-11-26 08:01:00,749.7,727.0,-3.03,-10110.62,82527.94,2
2016-12-02 00:01:00,2016-12-23 12:01:00,765.8,881.01,15.05,43284.26,121912.76,2
2016-12-25 16:01:00,2016-12-30 08:01:00,888.34,941.22,5.95,25145.03,145607.03,0
2016-12-30 16:01:00,2017-01-05 12:01:00,959.82,990.0,3.14,15719.18,159236.74,0
2017-01-21 16:01:00,2017-01-24 12:01:00,921.65,905.89,-1.71,-9865.02,148089.87,0
2017-01-25 04:01:00,2017-02-09 12:01:00,895.39,979.04,9.34,48108.65,191119.04,0
2017-02-12 04:01:00,2017-02-25 12:01:00,1004.74,1159.97,15.45,102941.84,288308.2,0
2017-02-27 08:01:00,2017-03-04 12:01:00,1187.18,1248.33,5.15,51374.38,335948.99,0
2017-03-04 20:01:00,2017-03-07 08:01:00,1260.28,1209.86,-4.0,-47745.68,285734.08,0
2017-03-13 20:01:00,2017-03-16 12:01:00,1242.59,1218.99,-1.9,-19595.01,263938.92,0
2017-04-05 08:01:00,2017-04-13 12:01:00,1129.69,1174.98,4.01,36482.14,295340.23,1
2017-04-15 16:01:00,2017-05-04 16:01:00,1182.79,1532.65,29.58,152567.8,564927.91,0
2017-05-21 00:01:00,2017-05-22 20:01:00,2045.59,2099.95,2.66,51353.98,612920.57,0
2017-06-04 08:01:00,2017-06-04 16:01:00,2550.52,2470.0,-3.16,-69010.21,542194.19,0
2017-06-10 16:01:00,2017-06-12 08:01:00,2883.85,2750.0,-4.64,-89217.45,449940.45,0
2017-07-04 04:01:00,2017-07-05 04:01:00,2627.12,2538.11,-3.39,-54303.32,393747.37,2
2017-07-05 12:01:00,2017-07-07 12:01:00,2574.28,2521.9,-2.03,-28868.89,362397.88,2
2017-08-04 04:01:00,2017-08-09 08:01:00,2823.33,3310.0,17.24,217877.19,575582.01,3
